,TF-IDF,fastText,RobeCzech,support,spread
fotbal,0.994847775175644,0.9846081541534485,0.9963644892693796,4266,0.011756335115931105
hokej,0.9949748743718593,0.982069480762047,0.9946106671622374,2685,0.012905393609812243
tenis,0.9949378739070409,0.9807162534435262,0.9976990335941095,1087,0.0169827801505833
formule1,0.9773519163763066,0.9470945359930616,0.9842381786339754,564,0.037143642640913854
moto,0.9658213891951488,0.9284928492849285,0.973741794310722,466,0.045248945025793574
atletika,0.9652173913043478,0.9307359307359307,0.982532751091703,231,0.051796820355772266
basketbal,0.9934354485776805,0.9253731343283582,0.9890590809628009,229,0.0680623142493223
cyklistika,0.9735449735449735,0.9427083333333334,0.9893048128342246,186,0.046596479500891186
biatlon,1.0,0.9764309764309764,0.9932432432432432,147,0.023569023569023573
olympijske_hry,0.8451882845188284,0.6869565217391305,0.9180327868852459,121,0.23107626514611546
lyze_snowboard,1.0,0.9491525423728814,1.0,90,0.05084745762711862
volejbal,0.9808917197452229,0.9212121212121213,0.9873417721518988,78,0.06612965093977752
hazena,0.9841269841269841,0.890625,1.0,63,0.109375
vodni_sporty,0.9166666666666666,0.8543689320388349,0.9292929292929293,50,0.07492399725409438
florbal,0.9896907216494846,0.8865979381443299,0.9896907216494846,49,0.10309278350515472
golf,1.0,0.9318181818181818,1.0,42,0.06818181818181823
box,0.8695652173913043,0.6666666666666666,0.8181818181818182,12,0.2028985507246377
