trial,macro_f1,lr,batch_size,weight_decay,label_smoothing
7,0.9760573418671656,2.099811728592533e-05,32,0.01,0.0
21,0.9758436443123827,1.222497117286545e-05,16,0.01,0.1
37,0.9754972998338453,1.3925531053791233e-05,16,0.01,0.1
32,0.9752677113955822,1.4824751376584746e-05,16,0.01,0.1
15,0.975236851799941,1.630875287921208e-05,32,0.01,0.0
8,0.974669921097042,1.0115491015452853e-05,16,0.01,0.1
12,0.9741722959671922,1.140320749798955e-05,16,0.01,0.1
44,0.9741344007841927,1.3329753448075996e-05,32,0.1,0.05
42,0.9740716362730505,1.8321022764268135e-05,16,0.01,0.1
16,0.9740204142291129,1.7261824814287152e-05,32,0.01,0.0
11,0.9739438008629248,1.0598918774234011e-05,16,0.01,0.0
31,0.973902732236796,1.0469808463231932e-05,16,0.01,0.1
20,0.973776156350159,1.913846128765012e-05,32,0.0,0.0
22,0.9736613096820148,1.3044783250722526e-05,32,0.01,0.1
40,0.9736280836602328,1.118510552901938e-05,16,0.01,0.05
2,0.9735161674373941,2.455190648560462e-05,32,0.1,0.05
36,0.9733964157085038,1.7404218625486114e-05,32,0.1,0.05
45,0.9733786023712871,1.4416056062880003e-05,16,0.01,0.1
43,0.9733500773703871,2.130481999626503e-05,16,0.01,0.1
4,0.9733220047390487,1.884055295519281e-05,32,0.1,0.05
28,0.9733093449059115,1.2281336352044583e-05,16,0.01,0.0
39,0.9732528033091081,1.266714556170273e-05,16,0.01,0.1
30,0.9730273951152992,2.0644919128562174e-05,32,0.0,0.0
34,0.9729954171717533,2.4084729512644302e-05,16,0.01,0.1
27,0.9729418071953818,1.975847721728705e-05,32,0.01,0.1
26,0.9728864217156593,1.5872065012782247e-05,16,0.01,0.0
33,0.972631019395997,1.561331813548308e-05,16,0.01,0.1
38,0.972619210052328,1.43843343808402e-05,16,0.1,0.1
3,0.9726035709464294,2.9133990367338462e-05,16,0.0,0.05
41,0.9724796081009518,1.6442146773204335e-05,16,0.01,0.1
49,0.9723311207636013,2.2431722974158966e-05,16,0.01,0.05
48,0.9722061365124608,1.5228736096660551e-05,32,0.0,0.0
14,0.9719264018754361,1.3948998497738699e-05,16,0.01,0.1
18,0.9717456951431842,2.5097025942146706e-05,32,0.01,0.0
0,0.9716837600334688,2.1789307659775746e-05,16,0.0,0.05
13,0.9715500752705879,1.5068278493967994e-05,32,0.01,0.0
24,0.9708736638378497,2.2616600003187568e-05,32,0.01,0.0
29,0.9706806902415063,2.907744645031971e-05,16,0.0,0.1
19,0.970570461666186,1.377180208624991e-05,32,0.01,0.0
23,0.9702012909935194,1.7077524356335088e-05,16,0.01,0.0
46,0.9701316651137788,2.6019227823823852e-05,32,0.01,0.0
6,0.9700787048417745,3.4670290778730486e-05,16,0.1,0.1
5,0.9697370778940292,3.965676111103479e-05,32,0.1,0.05
25,0.9692861635966378,1.187886972116595e-05,32,0.01,0.1
1,0.9677443945936415,4.359666365651392e-05,32,0.0,0.1
35,0.9670469178125752,2.809876408052761e-05,16,0.0,0.1
47,0.9668235422877516,3.3799183273742956e-05,16,0.01,0.1
10,0.9651340686847978,7.231352422006053e-05,32,0.01,0.0
9,0.9643885671486762,3.655058204784005e-05,16,0.1,0.05
17,0.9642445696166736,5.455821679368465e-05,32,0.01,0.0
