trial,macro_f1,lr,batch_size,weight_decay,label_smoothing
7,0.9760573418671656,2.099811728592533e-05,32,0.01,0.0
21,0.9758436443123827,1.222497117286545e-05,16,0.01,0.1
32,0.9752677113955822,1.4824751376584746e-05,16,0.01,0.1
15,0.975236851799941,1.630875287921208e-05,32,0.01,0.0
8,0.974669921097042,1.0115491015452853e-05,16,0.01,0.1
12,0.9741722959671922,1.140320749798955e-05,16,0.01,0.1
16,0.9740204142291129,1.7261824814287152e-05,32,0.01,0.0
11,0.9739438008629248,1.0598918774234011e-05,16,0.01,0.0
31,0.973902732236796,1.0469808463231932e-05,16,0.01,0.1
20,0.973776156350159,1.913846128765012e-05,32,0.0,0.0
22,0.9736613096820148,1.3044783250722526e-05,32,0.01,0.1
2,0.9735161674373941,2.455190648560462e-05,32,0.1,0.05
4,0.9733220047390487,1.884055295519281e-05,32,0.1,0.05
28,0.9733093449059115,1.2281336352044583e-05,16,0.01,0.0
30,0.9730273951152992,2.0644919128562174e-05,32,0.0,0.0
34,0.9729954171717533,2.4084729512644302e-05,16,0.01,0.1
27,0.9729418071953818,1.975847721728705e-05,32,0.01,0.1
26,0.9728864217156593,1.5872065012782247e-05,16,0.01,0.0
33,0.972631019395997,1.561331813548308e-05,16,0.01,0.1
3,0.9726035709464294,2.9133990367338462e-05,16,0.0,0.05
14,0.9719264018754361,1.3948998497738699e-05,16,0.01,0.1
18,0.9717456951431842,2.5097025942146706e-05,32,0.01,0.0
0,0.9716837600334688,2.1789307659775746e-05,16,0.0,0.05
13,0.9715500752705879,1.5068278493967994e-05,32,0.01,0.0
24,0.9708736638378497,2.2616600003187568e-05,32,0.01,0.0
29,0.9706806902415063,2.907744645031971e-05,16,0.0,0.1
19,0.970570461666186,1.377180208624991e-05,32,0.01,0.0
23,0.9702012909935194,1.7077524356335088e-05,16,0.01,0.0
6,0.9700787048417745,3.4670290778730486e-05,16,0.1,0.1
5,0.9697370778940292,3.965676111103479e-05,32,0.1,0.05
25,0.9692861635966378,1.187886972116595e-05,32,0.01,0.1
1,0.9677443945936415,4.359666365651392e-05,32,0.0,0.1
10,0.9651340686847978,7.231352422006053e-05,32,0.01,0.0
9,0.9643885671486762,3.655058204784005e-05,16,0.1,0.05
17,0.9642445696166736,5.455821679368465e-05,32,0.01,0.0
