trial,macro_f1,lr,batch_size,weight_decay,label_smoothing
16,0.9708586627925813,1.265767922261351e-05,16,0.0,0.1
13,0.9706990440925157,1.4919661337445089e-05,16,0.01,0.1
0,0.9686526943233988,2.1789307659775746e-05,16,0.0,0.05
36,0.9672378399264197,1.5467176574907175e-05,16,0.0,0.05
23,0.9669553704205482,2.611553357732113e-05,16,0.0,0.0
25,0.9664152429307338,1.662617357665852e-05,16,0.0,0.05
8,0.9662855002319037,1.0115491015452853e-05,16,0.01,0.1
15,0.9660587679028079,1.495516405355896e-05,16,0.01,0.05
6,0.9658639759295088,3.4670290778730486e-05,16,0.1,0.1
34,0.965608189229498,2.559088086093169e-05,32,0.0,0.0
22,0.9649600988107052,1.9477372096475895e-05,16,0.0,0.05
17,0.9642265083199024,1.3827464780852177e-05,16,0.0,0.1
1,0.9636092446104901,4.359666365651392e-05,32,0.0,0.1
30,0.9635649166943804,1.818358364461765e-05,16,0.0,0.1
20,0.9633821272867422,1.6110123365943973e-05,16,0.01,0.1
5,0.9633400908914951,3.965676111103479e-05,32,0.1,0.05
21,0.9633314782390273,2.2936432342982848e-05,16,0.0,0.1
11,0.9632881669199983,1.0620710065488565e-05,16,0.01,0.1
31,0.9631097265734109,2.7914050368216583e-05,16,0.0,0.0
35,0.9629803852116899,4.581280278631337e-05,16,0.1,0.05
33,0.9629684883783477,3.1544838448925145e-05,16,0.0,0.0
28,0.9629059198449951,2.1677324765845272e-05,16,0.0,0.0
3,0.96280127379101,2.9133990367338462e-05,16,0.0,0.05
7,0.962783097360859,2.099811728592533e-05,32,0.01,0.0
37,0.9627443663729108,1.549951312633212e-05,32,0.1,0.05
19,0.9621477678941143,1.245925072101431e-05,16,0.0,0.1
14,0.9616026434824425,1.7360683475823524e-05,16,0.0,0.0
26,0.9611658207510112,2.9051102095790965e-05,32,0.01,0.1
18,0.9611514420147066,1.4225732660723604e-05,16,0.01,0.1
12,0.9606550633041641,1.1457179750120367e-05,16,0.01,0.1
4,0.9595821935474089,1.884055295519281e-05,32,0.1,0.05
32,0.9592896564722269,2.568598871005663e-05,16,0.0,0.0
27,0.9587717161035563,5.2329784972381726e-05,16,0.0,0.1
24,0.958209873581166,1.2653459995433275e-05,16,0.0,0.1
10,0.9581190592251498,7.233016838277237e-05,16,0.0,0.0
29,0.9573991240017834,1.2783759830011545e-05,32,0.01,0.05
2,0.9564460806219005,2.455190648560462e-05,32,0.1,0.05
9,0.9533109376252548,3.655058204784005e-05,16,0.1,0.05
